text,label
apakah video ini menunjukkan solange knowles menendang jay z?,1
komisi eropa mengecam apple karena kurangnya tindakan terhadap pembelian dalam aplikasi yang 'menyesatkan',2
keadaan iklim yang dibahas dalam laporan ipcc baru,2
departemen kehakiman membuka penyelidikan kriminal atas penarikan kembali gm,0
"'the fault in our stars' - mengemas kisah menyentuh hati tentang kehidupan, hubungan",1
nest labs menjangkau pengembang,2
aktor komedian john pinette 'seinfeld' meninggal di kamar hotelnya,1
kantor microsoft di tiongkok dikunjungi untuk melakukan penyelidikan antimonopoli,2
fantasi penghangat lainnya jatuh ke bumi,2
"etihad, alitalia mengkonfirmasi penjualan saham ekuitas",0
tiongkok memberikan 'perhatian tinggi' terhadap pelonggaran ekspor senjata jepang,0
pengisi suara tony the tiger meninggal pada usia 64 tahun,1
chris harrison membahas drama 'after the final rose' di 'good morning america',1
honda dan perusahaan lain menarik hampir 3 juta kendaraan karena cacat kantung udara,2
apple akan mengakuisisi dr.dre's beats,2
laporan keuangan tahta suci dan negara kota vatikan diterbitkan,0
walikota dengan sengaja menghilangkan f-word setelah kemenangan piala stanley,1
museum corvette mungkin menyimpan bagian lubang runtuhan yang menelan delapan mobil,1
'kecepatan tidak aman' menyebabkan kecelakaan yang menewaskan aktor paul walker,1
zac efron telanjang di atas panggung setelah memenangkan adegan topless terbaik - lihat yang konyol ...,1
bisakah kita berhenti mempermalukan tubuh lena dunham?,1
george clooney dan amal alamuddin mengadakan pesta pertunangan,1
emas melemah di tengah permintaan asia dan kekhawatiran stimulus as,0
"penghibur veteran yang sensitif, rolf harris, tiba di pengadilan",1
pabrik samsung merampok perangkat senilai $us36 juta,2
frances bean cobain ke lana del rey: jangan meromantisasi kematian anak muda ...,1
london memberi lampu hijau kepada uber – tapi haruskah kita membiarkannya mengabaikan peraturan?,0
video: host web menampar fcc dengan kecepatan dial-up melebihi netralitas net,2
learning thermostat nest dijual di inggris dengan harga £179,2
intro bus sekolah ajaib dengan lirikvinnired100,1
analisis fundamental nzd/usd prakiraan 31 maret 2014,0
ulasan jahat,1
spesies dinosaurus terbesar yang pernah ada? para ilmuwan menemukan tulang paha raksasa di argentina,2
trailer teaser baru untuk 'foxcatcher' bennett miller – dibintangi channing tatum ...,1
"twitch, yang dilaporkan menjadi target google, sedang menarik minat para gamer",2
spoiler glee '100': inilah semua yang kita ketahui tentang episode malam ini ...,1
"kanye, kim ucapkan sumpah",1
siemens dan mitsubishi mengumumkan tawaran bersama untuk operasi energi alstom,0
"ulasan: ""tetangga"" - rogen dan byrne melawan balik dalam kejar-kejaran orang tua vs persaudaraan",1
"'godzilla' menampilkan efek khusus yang 'bagus', momen menegangkan",1
ftc memanggil facebook dan whatsapp karena privasi sebelum merger,2
opie & anthony host memiliki sejarah panjang rasisme,1
godzilla: lebih sedikit lebih baik untuk pesta monster terbaik sepanjang masa,1
tempat tamu kejutan 'orang gila' neve campbell,1
mlb 14: trailer pertunjukan: mainkan bola lebih baik di ps4,2
"game of thrones musim 4, episode 7 siaran langsung: tonton ulang mockingbird online ...",1
'american idol' menyingkirkan yang mulia rose dan menentukan top 8 musim ketiga belas ...,1
diane sawyer mengundurkan diri sebagai pembawa berita 'berita dunia',1
smartphone samsung sm-g750a bocor secara online: bisa jadi galaxy s5 neo,2
tablet samsung memberikan keunggulan dengan layar baru,2
mahkamah agung,1
pamela anderson mengajukan gugatan cerai,1
gm akan menarik kembali sedan cruze 30k karena kantong udara rusak,2
gwyneth paltrow keluhkan menjadi ibu di hollywood lebih sulit daripada bekerja ...,1
"ini bukan tv, ini hbo. game of thrones: musim keempat lengkap tersedia ...",1
anda mungkin pernah menjadi tikus lab dalam eksperimen besar-besaran di facebook,2
okcupid meluncurkan kembali oktrends: blog tercinta yang melacak tanggal online ...,2
kota-kota memerlukan lebih banyak dukungan dari fbi untuk beradaptasi terhadap perubahan iklim: walikota vancouver,2
museum peringatan nasional 11 september dibuka,1
htc berkomitmen untuk meluncurkan android l secara cepat untuk ponsel pintar seri one,2
suku bunga gbp – belum ada dorongan lebih tinggi,0
asteroid tingkat nuklir mungkin lebih umum terjadi daripada yang kita sadari,2
1 dari 10 pantai as gagal uji bakteri: survei,0
"bskyb dalam pembicaraan untuk membeli unit tv berbayar fox di jerman, italia",0
as melarang seluruh armada jet tempur f-35 setelah kebakaran yang tidak dapat dijelaskan,0
pratinjau 'dancing with the stars' musim 18: apakah masih ada kehidupan yang tersisa dalam kompetisi?,1
penjualan yahoo terlihat stagnan 2 tahun masa jabatan mayer yhoo googl,0
apakah ini klub paling berbahaya di dunia?,0
kemarahan saat pemadaman: kepanikan saat facebook hancur,2
es es bayi,1
eminem merilis video baru di hari ibu,1
"bruce willis, putri demi moore, scout, bertelanjang dada di new york",1
justin bieber dalam penahanan: foto polisi,1
'star wars': gambar pertama dari set menjawab semua pertanyaan kami (tidak juga),1
bintang x men 'hugh jackman' terinspirasi oleh kekuatan mental 'sachin tendulkar!!,1
seperti apa tampilan aplikasi google di android l baru?,2
twitter tetap tidak menguntungkan meski ada lonjakan penjualan,0
reel critics: 'winter soldier' ​​adalah suguhan musim semi,1
"samsung galaxy s5 broadband lte-a – qhd, s5 bertenaga snapdragon 805 ...",2
generasi baby boomer kembali menggunakan hipotek untuk mendapatkan penghasilan,0
cuplikan 'godzilla' dan detail lainnya terungkap di wondercon 2014,1
magid on tech: google merekrut songza untuk mengintai wilayah streaming musik,2
bintang “father of the bride” steve martin menepis rumor bahwa franchise film tersebut akan ...,1
"dolar melemah, perhatian tertuju pada bank sentral",0
hujan meteor hujan meteor.,2
gerhana pada selasa pagi kemungkinan besar tertutup awan,2
perangkat seluler tidak menarik tanpa cloud: ceo microsoft satya nadella,2
"ross douthat: marx kembali, tapi dia bermain di rumah kecil",0
stephen colbert: pelaku dengan peluang yang sama,1
kepala energi uni eropa bertujuan untuk memperluas ukraina,0
perubahan iklim berisiko bagi bisnis,0
apakah andi dorfman tidur dengan josh murray dan nick viall di bachelorette ...,1
"update biopik aaliyah: zendaya keluar, proyek seumur hidup 'saat ini ditunda'",1
peretasan layanan kesehatan senilai $54 miliar di new york,0
"gm menambahkan 971.000 kendaraan ke penarikan pengapian, mengonfirmasi kematian ke-13 karena cacat",0
tablet htc nexus 9,2
tanggal rilis iphone 6: akankah apple luncurkan smartphone unggulannya di wwdc 2014 ...,2
playstation network diserang oleh kelompok peretas – xbox mungkin menjadi target berikutnya,2
anak-anak tidak mendapatkan komputer tahun 70an,2
"kritikus bertanya, ""di manakah kepercayaan terhadap 'the fault in our stars'?""",1
terobosan saat para astronom menemukan senjata api big bang,2
trailer resmi 'girl meets world' dirilis,1
spoiler 'true blood' musim 7: joe mangeniello mengatakan kematian terbaru yang mengejutkan ...,1
mungkin vma adalah konspirasi feminis,1
andre johnson: rapper yang ditemukan klan wu-tang memotong penisnya dan ...,1
pemerintah libya mengatakan mendapatkan kembali kendali 2 terminal minyak,0
"budweiser buatan amerika ekspansi ke l.a., menjadi produk serentak pertama ...",1
kim kardashian menjadi sampul majalah vogue as,1
"penutup 1-bagi goldman sachs dan morgan stanley, membosankan itu indah",0
"""andrew rannells akan mengambil alih 'hedwig' broadway setelah neil patrick harris"".",1
spacewalker akan mengganti komputer yang rusak di luar stasiun luar angkasa,2
"china kirim utusan khusus ke malaysia, bersumpah lanjutkan pencarian mh370",0
mila kunis akhirnya buka-bukaan soal kehamilan & pertunangan,1
npd maret 2014: playstation 4 kembali terjual lebih banyak dari xbox one meskipun ada titanfall,2
penayangan perdana film 'deliver us from evil' (video),1
mahkamah agung menyidangkan kasus tv streaming,1
pemasok apple akan mulai membuat iphone yang lebih besar bulan depan,2
"'spaceshiptwo, serial two': di dalam pesawat luar angkasa penumpang terbaru virgin galactic",2
"""destiny"" menghadirkan multiplayer kompetitif di crucible",2
"museum peringatan nasional 11 september: selamat datang di tragedi kami, silakan keluar ...",1
"rumor layanan streaming musik amazon prime terus berlanjut, peluncuran bisa saja terjadi ...",1
tonton conan o'brien mendapatkan 50 akting cemerlang selebriti untuk mtv movie awards,1
"google akhirnya menutup orkut, jejaring sosial pertamanya",2
lihat aksi 'hak untuk dilupakan' di google,2
bank of england 'harus turun tangan untuk menghentikan harga properti yang tidak terkendali',0
putaran kedua: apple dan samsung bersiap untuk perang paten miliaran dolar lainnya,2
jaksa menuntut aktor 'the shield' dengan pembunuhan dalam kematian istrinya,1
"perang, kelaparan, penyakit… dan hal lebih buruk lagi yang akan datang: dampak perubahan iklim semuanya ...",2
serangan ddos sony mungkin hanya tabir asap,2
4 pertanyaan dengan salah satu pendiri ben & jerry's,1
pharrell williams menangis pada oprah atas penghargaan penggemar yang 'bahagia' [video],1
trailer baru 'dawn of the planet of the apes' adalah pisang: 9 penutup layar utama,1
'true blood' akhirnya mencapai akhir antiklimaks,1
"mtv vma 2014: nicki minaj tampil tiga kali, lemari pakaiannya rusak",1
laporan mengungkapkan perusahaan-perusahaan terkemuka di amerika dalam hal gaji dan tunjangan,0
senjata wajib milik bintang 'noah' emma watson untuk misa karpet merah ...,1
john oliver dari hbo membobol situs fcc dengan permohonan netralitas bersih,2
film spider-man baru membuat sejarah di india,1
"casey kasem, presenter top 40 amerika, meninggal di usia 82 tahun",1
"""kanye west merahasiakan detail pernikahan kim kardashian"". semuanya sangat...",1
"gm: penarikan, kewajiban, dan boeing",2
microsoft secara resmi mengakhiri dukungan untuk sistem operasi windows xp,2
"lindsay lohan syuting dengan terry richardson, mengatasi karier pop yang terlupakan ...",1
laporan: yahoo ingin membuat acara tv bergaya kabel,1
kebangkrutan gowex: dewan lokal berjanji untuk melanjutkan proyek wi-fi gratis,0
ps4 keluar sebagai pemenang di bulan februari tapi titanfall mungkin menjadi pemenang xbox one ...,2
"video: dave chappelle menceritakan kisah yang sangat ""dope"" tentang bertemu kanye west",1
"android 4.4.1 jelly bean rentan terhadap heartbleed, perbaikan telah dikeluarkan",2
jaksa agung mengumumkan penyelesaian hampir $200 juta dengan citigroup,0
"forex-euro melemah menjelang survei ifo jerman, pemilu ue menambah ketidakpastian",0
nbc memenangkan pekan primetime 19 mei dalam demo utama,1
google memperkenalkan prototipe mobil yang sepenuhnya self-driving di as,2
apple dan google mengumumkan gencatan senjata atas tuntutan paten,2
saham-saham as melemah karena kekhawatiran baru terhadap rusia,0
"credit suisse menyelesaikan dengan fannie mae, freddie mac sebesar $885m",0
zendaya akan membintangi dan menyanyi sebagai aaliyah di film seumur hidup,1
video trailer hunger games mockingjay: pidato presiden snow di panem ...,1
foto: valve masih mengerjakan headset realitas virtual,2
jembatan penting i-495 di delaware masih ditutup,0
"""komunitas"" dibatalkan: lima musim dan tidak ada film, kata nbc",1
citigroup akan membayar $7 miliar untuk penyelidikan subprime mortgages,0
scott derrickson mengarahkan doctor strange for marvel,1
fitur 'teman terdekat' baru di facebook bertujuan untuk membantu pengguna terhubung dalam kehidupan nyata,2
sun pharma memperpanjang kenaikan di atas 2% di bse,0
neil patrick harris ingin menunjukkan ular celananya kepada anda.,1
"microsoft meluncurkan nokia x2, smartphone android barunya",2
penyelesaian 'wheel of fortune' tadi malam adalah 'paling menakjubkan' yang pernah dilihat pat sajak,1
craig ferguson akan meninggalkan 'the late late show' pada bulan desember,1
blog panggilan: kertas atau plastik? itu mungkin segera membebani anda,0
orkestrasi alstom mengikuti tradisi panjang prancis - ktvn channel 2 - reno ...,0
gadis terluka setelah jatuh dari poros lift di gedung manhattan,0
pengecer as gelisah karena pembicaraan mengenai perburuhan di pelabuhan pantai barat hampir habis,0
pendiri okcupid mengatakan bereksperimen pada pengguna hanyalah “cara kerja situs web ...,2
microsoft surface 3 adalah “laptop” yang dipeluk oleh pengguna,2
jennifer lopez terpesona oleh jena irene di 'american idol' minggu ini!,1
pekerja metro-utara dari yonkers tewas setelah ditabrak kereta api,0
emma watson mengungkap riasan dan produk rambut di balik penampilannya di karpet merah,1
pendapatan twitter meningkat tajam di q2… namun kerugiannya juga meningkat,0
apakah sundar pichai akan menjadi ceo google yang menunggu?,2
"arm, intel saling menyerbu pasar chip masing-masing",2
kontroversi foto willow smith di tempat tidur dengan baju ...,1
"rekap ""the voice"": putaran pertempuran dimulai, dan menjadi penuh kekerasan",1
umat ​​beriman merefleksikan makna jumat agung saat prosesi di north jersey menandai ...,1
"keluarga selena gomez: bieber adalah ""hal terburuk yang pernah terjadi"" padanya",1
remaja ditangkap karena tweet teror,1
apple bermitra dengan ibm dalam perangkat lunak bisnis,2
china merilis citra satelit baru dari objek tersebut,0
"ecb bergulat dengan ""zona bahaya""",0
ryan lewis bertanya kepada publik apa yang dilakukan ryan lewis. tidak ada yang mengenalinya :(,1
bnp paribas mendekati rekor penyelesaian $9 miliar karena melanggar sanksi as,0
dokumenter the people vs. george lucas mendapatkan sekuelnya,1
gabungan ipad dan pengiriman mac sekali lagi menjadikan apple sebagai vendor pc terbesar di dunia,2
museum untuk menjaga lubang pembuangan,1
lagarde akan menjelaskan perannya dalam kasus hukum prancis kepada dewan imf,0
bermuka tebal! julia louis-dreyfus mengungkap 'tanda lahir' bersejarah,1
macbook air 2014 vs. macbook pro dengan retina display,2
facebook mengubah pengaturan privasi untuk pengguna baru,2
pemenang hadiah nobel s/afrika nadine gordimer meninggal,1
"lady gaga & tony bennett ungkap video musik 'anything goes', umumkan ...",1
hugh jackman berbicara tentang ketegangan adegan telanjang di aussie x-men: days of future past ...,1
kerry: 'dampak akibat kelambanan' terhadap perubahan iklim adalah 'bencana besar',2
pengadilan tinggi as menolak tawaran google untuk membatalkan kasus privasi street view,2
youtube akan menggandakan streaming langsung dengan twitch,2
"rekap final 'grey's anatomy' musim 10: perpisahan, cristina yang!",1
troian bellisario mengatakan foto bikini gq 'tidak nyata',1
rekap lajang terburuk,1
saatnya kembang api: dow mencapai 17.000!,0
selena gomez mungkin berkencan dengan orlando bloom,1
"eccentric, pink dwarf dijuluki 'biden' oleh para astronom cakep",2
"'true detective' musim kedua menampilkan tiga pemeran utama baru, berlatar california",1
kejatuhan pasar akan berlanjut pada hari jumat,0
sejarah tercipta di wall street saat dow menembus 17.000 poin,0
"samsung diperintahkan untuk membayar apple $119,6 juta",2
review film transendensi,1
beyonce membuat penampilan kejutan di coachella,1
jennifer lopez mendapat penghargaan di penghargaan gay,1
bagaimana perubahan iklim membantu jenghis khan: para ilmuwan percaya bahwa periode yang tiba-tiba ...,2
foto: makam mesir berusia 3300 tahun ditemukan oleh para arkeolog,2
trailer panas: the wachowskis' 'jupiter ascending',1
project morpheus: sony meluncurkan headset realitas virtual untuk playstation 4,2
mengajukan pengembalian pajak yang terlambat tidak masalah,0
penggemar akan menyaksikan hari minggu untuk musim terakhir 'mad men',1
ceo hp meg whitman ditunjuk sebagai ketua dewan,0
sutradara richard donner mengatakan sekuel 'the goonies' sedang dikembangkan,1
"demi lovato berhenti mengikuti selena gomez di twitter, mungkin disebut bitch",1
penemuan planet mirip bumi memperluas kemungkinan adanya kehidupan di alam semesta,2
seberapa terbuka sebenarnya 'internet terbuka' fcc?,2
patrol rumor: apakah katt williams mengeluarkan senjata di klub komedi?,1
samsung galaxy s4 vs galaxy s3: legenda ramah anggaran,2
“awan persegi ganjil” difoto dari stasiun luar angkasa,2
ulasan film 'blended' adam sandler: setidaknya bukan 'that's my boy',1
"google memamerkan android untuk perangkat yang dapat dikenakan, mobil, tv",2
ibm menghadirkan perangkat lunak perusahaan ke ios,2
bocoran video memperlihatkan serangan jay-z,1
ganja telah berkembang jauh sejak 20/4 terakhir,1
"hang seng datar, shanghai turun",0
google membeli perusahaan drone untuk internet melalui udara,2
apple iphone 6: apakah seperti ini tampilannya?,2
petsmart dapat menjual atau menggabungkan untuk meningkatkan nilai pemegang saham,0
khloe kardashian menolak menerima panggilan telepon lamar odom?,1
prince akan merilis dua album baru di hari yang sama,1
jenny mccarthy akan bergabung dengan siriusxm,1
indeks perekonomian as naik untuk bulan ketiga berturut-turut,0
final the walking dead musim 4: glenn tampil di poster terminus baru ...,1
popeyes mengeluarkan $43 juta untuk membeli resep dari pendirinya,0
kuartal kuat twitter inc terbantu oleh piala dunia,2
stephen colbert siap mengisi 'sepatu besar' dan 'celana sangat besar' letterman,1
"langsung: kerry, sushma swaraj mengadakan konferensi pers bersama",0
"peretas menargetkan jaringan game, pesawat yang membawa sony exec",2
web 'penting bagi demokrasi',2
"jika pemberi pinjaman pelajar anda meninggal, anda mungkin harus membayarnya",0
pesanan mesin inti jepang bulan mei turun hampir 20%,0
google akan membeli pembuat drone untuk mendorong jangkauan global,2
perang aplikasi melanda layanan kereta api dan taksi di eropa,0
sound off: sekuel lord & miller '22 jump street' - pendapat anda?,1
domino diretas untuk 600.000 kata sandi pengguna,2
"robin thicke menamai album baru dengan nama istrinya yang terasing, paula patton",1
lockheed martin memenangkan kesepakatan 'pagar luar angkasa',0
honda motor co. ltd.: ringkasan keuangan konsolidasi untuk tahun fiskal 1 ...,0
game of thrones: mengapa pernikahan ungu disebut pernikahan ungu?,1
pencipta orang gila menjelaskan final pertengahan musim hari minggu,1
"twitter memposting penjualan iklan $277 juta, 81 persen dari seluler",0
samsung galaxy s5: pembayaran melalui sensor sidik jari diluncurkan oleh paypal,2
maserati $100k miley cyrus dikabarkan dicuri,1
saffo: mengapa kesepakatan facebook-oculus berdampak buruk bagi kami,2
lisensi penerbitan toko pot di negara bagian washington,0
"citigroup akan membayar $1,12 miliar kepada investor",0
"ceo disney merinci sekuel 'star wars', 'cars' dan 'incredibles' berikutnya",1
inilah poros besar yang mengubah twitch menjadi perusahaan senilai $970 juta,2
lokasi pemakaman l'wren scott terungkap,1
"parade penarikan kembali general motors berlanjut dengan 2,4 juta kendaraan lebih",2
apa prediksimu untuk episode 'game of thrones' minggu depan?,1
rekap 'true blood' musim 7 episode 2: forensik pizza,1
"pendapatan iklan online melampaui siaran tv, berkat seluler dan video",0
portland menyetujui google fiber tetapi memberi google persyaratan tertentu sebelum segalanya ...,2
hasil yahoo mengecewakan,2
update 3 (hari 16): mh370 hilang: pencarian pesawat meluas pada gambar baru ...,0
wall street naik lebih tinggi seiring lompatan intel,0
penyanyi country brad paisley memposting foto selfie dengan anggota westboro - cincinnati ...,1
ulasan: cara melatih naga anda 2,1
mantan bos skype tony bates bergabung dengan gopro sebagai presiden dan anggota dewan,0
microsoft menutup xbox entertainment studios,2
"tingkat orang yang tidak memiliki asuransi adalah yang terendah sejak tahun 2008, demikian temuan jajak pendapat",0
google glass android 4.4 kitkat tiba minggu ini dengan berbagai pernak-pernik,2
"twitter, inc. (twtr) meluncurkan notifikasi real-time untuk twitter.com",2
eksekutif duke terkena tuntutan investor atas rekor abu batubara,0
"shell akan menjual sebagian besar sahamnya di woodside australia seharga $5,7 miliar",0
gitaris ac/dc malcolm young mengambil istirahat 'karena kesehatan yang buruk' karena band menyangkal ...,1
"untuk pengiriman bahan makanan, barang-barang rumah tangga amazons amazon dash",2
penyebab kematian persik geldof,1
"jay-z diserang oleh adik beyonce, solange!",1
"pilgrim's pride menawarkan untuk membeli merek hillshire dengan kesepakatan $6,4 miliar",0
penilaian perubahan iklim memberikan gambaran nyata mengenai potensi kerusakan,2
"obama mengatakan rusia harus ""mundur"" pasukannya dari perbatasan ukraina",0
iklan besar besar: apple memanfaatkan pixies untuk menjual iphone,2
cedera ford membuat star wars mundur,1
distributor linux red hat meningkatkan perkiraan pendapatan,2
jadwal tv musim gugur 2014: cari tahu kapan menonton acara favorit anda di nbc ...,1
permohonan tunjangan pengangguran dip,0
gopro membuat debut pasar dengan gambar sempurna,0
brian williams nge-rap di 'gin and juice',1
"britney spears, telanjang (tanpa autotune)",1
pfizer menghentikan upayanya untuk membeli astrazeneca (dengan video),0
"""gone girl"": trailer baru",1
kim kardashian mencoba keluar dari mobilnya setelah tiba di bandara - benar ...,1
ulasan langsung samsung galaxy tab s,2
yandex mengakuisisi auto.ru sebesar $175 juta menambahkan iklan baris mobil ke pencariannya ...,2
ariana grande diumumkan sebagai orang pertama yang tampil di mtv video music awards pada agustus ...,1
"samsung galaxy tab 4 (7.0) wifi 8gb dilengkapi prosesor quad-core,",2
"teladan sehat: tolong lebron james, lakukan saja",0
johnson mengontrol untuk mengalihdayakan interior ke tiongkok,0
micros systems dilaporkan hampir mencapai kesepakatan untuk diakuisisi oleh oracle senilai $5 miliar,0
ibm merosot: apa kata wall street,0
katie couric menikahi john molner di pernikahan hamptons,1
ryanair mengajukan tawaran pada cyprus airways,0
"gopro, setelah ipo yang kuat, berupaya menjadi distributor media",0
seseorang membayar $2 juta untuk makalah yang ditulis bob dylan,1
at&t membeli directv senilai hampir $50 miliar,0
"aktor, pembuat film paul mazursky meninggal pada usia 84 tahun",1
"google menghadirkan stok kamera android ke lebih banyak perangkat, memperkenalkan fitur-fitur baru",2
saham as mundur sementara euro menguat bersama pound terkait data ekonomi,0
facebook melacak kebiasaan online anda untuk iklan,2
cupcake crumbs bake shop terakhir ada di ebay,0
berapa banyak yang akan anda bayar untuk cupcake terakhir dari crumbs bakery?,0
phil collins adalah seorang fanatik alamo,1
"komite pengawas akan meninjau pengeluaran detroit untuk 20 tahun ke depan, sambil menunggu ...",0
ecb mengatakan penguatan euro lebih lanjut akan memicu kebijakan moneter yang lebih longgar,0
tonton: cameron diaz & jason segel membintangi 'sex tape',1
spesifikasi zoom samsung galaxy s5 dikabarkan bocor,2
'peluang besar' di bidang pertanian dan kehutanan untuk mitigasi perubahan iklim: ipcc ...,2
harga gas stabil di w.va.,2
amazon menggoda kemungkinan pengungkapan set-top box untuk 2 april,2
apa masalah dengan menurunnya jumlah tenaga kerja di amerika?,0
gugatan pelecehan seksual sutradara x-men,1
beberapa sumur prioritas tinggi tidak diperiksa di new mexico,0
"pasar asia pasifik: saham tergelincir karena kekhawatiran kenaikan suku bunga fed, buruknya data as dan tiongkok",0
microsoft meningkatkan penyimpanan onedrive hingga 1tb untuk pelanggan office 365,2
abc: josh elliott meninggalkan good morning america,1
pemerintah prancis memenangkan kesepakatan saham alstom,0
"may day untuk petani? kurang tepat, tapi minnesota tertinggal dalam hal penanaman",0
fcc memperpanjang batas waktu komentar terbuka netralitas bersih hingga hari jumat,2
nj night sky: temukan bulan sabit di dekat venus,2
"ps4, pemilik xbox one 'memiliki tagihan listrik lebih tinggi'",2
medtronic bermain cerdas dalam permainan poker m&a,0
perubahan mata trian di bny mellon,0
anggota pemeran 'glee' musim 5 episode ke-100 chace crawford berbicara tentang dianna ...,1
iran memata-matai 'menggunakan facebook untuk mengintai pemerintah as',2
andrew garfield kesulitan bermesraan dengan emma stone di 'saturday night ...,1
mengapa 'captain america: the winter soldier' ​​​​bukan thriller thriller tahun 70an,1
"gabriel garcia marquez dipuji sebagai raksasa sastra oleh para pemimpin global, seniman setelah ...",1
apakah usher dan shakira sudah selesai dengan 'the voice'?,1
"lg nexus 5 vs xperia z1 compact dari sony – spesifikasi, performa dan harga ...",2
"pilihan bersantap: mata irlandia, dan banyak lainnya, akan tersenyum secara lokal",1
"pentolan gwar meninggal karena overdosis heroin yang tidak disengaja, kata pemeriksa",1
paus biru menang dalam berita minggu ini,1
katherine heigl menggugat perusahaan duane reade atas penggunaan foto kepergiannya ...,1
10 fitur terbaik htc one m8,2
mimpi buruk lalu lintas,0
mari mengolok-olok tweet pertama media elite,2
"tidak, sungguh: pengungsi windows xp harus melihat kembali windows 8",2
hujan meteor baru akan memulai debutnya malam ini,2
simband: visi samsung untuk perangkat kesehatan yang dapat dipakai,2
diposting oleh shoaib-ur-rehman siddiqui,0
mtv movie awards: ice cube 'dirampok' mengklarifikasi komentar paul walker,1
"pesaing oculus rift ini akan bekerja di playstation 4, xbox one, dan pc",2
justin bieber memfilmkan tom hanks turun ke lantai dansa ke montell ...,1
chevrolet memberi penghormatan pada ulang tahun mustang yang ke-50,2
mantan pacar gwyneth paltrow buka-bukaan soal ciuman kontroversialnya,1
