No,News Title,Category,News Title Indonesia
27772,HBO Renews Game Of Thrones For Fifth And Sixth Seasons,Entertainment,HBO Memperbarui Game Of Thrones Untuk Musim Kelima dan Keenam
394,Is Google's New Self-Driving Car The Way To Go In The Future?,Technology,Apakah Mobil Self-Driving Baru Google Adalah Solusi Masa Depan?
1118,"So Google's Hiring a Pokémon Master, Eh? The Best April Fools' Day Pranks of  ...",Technology,"Jadi Google Mempekerjakan Pokémon Master, Eh? Lelucon Hari April Mop Terbaik ..."
56955,[Update] Robot vs aliens - XCOM: Enemy Unknown is now on Android,Technology,[Pembaruan] Robot vs alien - XCOM: Musuh Tidak Diketahui sekarang ada di Android
16721,"Oh, 'Paula': Robin Thicke is sorry, and then some",Entertainment,"Oh, 'Paula': Robin Thicke minta maaf, dan masih banyak lagi"
27564,London Report: Airline decline and M&S worries keep the FTSE in the red,Economy,Laporan London: Penurunan maskapai penerbangan dan kekhawatiran M&S membuat FTSE tetap berada di zona merah
42422,Huge Space Telescope Needed to Seek Life on Alien Planets,Technology,Teleskop Luar Angkasa Besar Dibutuhkan untuk Mencari Kehidupan di Planet Asing
52351,Idina Menzel finally comments on John Travolta calling her 'Adele Dazeem',Entertainment,Idina Menzel akhirnya mengomentari John Travolta memanggilnya 'Adele Dazeem'
62280,Tel Aviv glows gay as thousands of revelers line streets for annual parade,Entertainment,Tel Aviv bersinar cerah ketika ribuan orang berjajar di jalan untuk parade tahunan
29088,Rice Bucket Challenge Goes Global,Entertainment,Tantangan Rice Bucket Mendunia
60002,Bank of America ex-CFO Joe Price agrees to settle NY lawsuit over Merrill: Report,Economy,Mantan CFO Bank of America Joe Price setuju untuk menyelesaikan gugatan NY atas Merrill: Laporan
13866,HGTV flips out over Benham brothers report,Entertainment,HGTV membalik laporan Benham bersaudara
12349,Citigroup to pay $7 billion in mortgage probe,Economy,Citigroup akan membayar $7 miliar dalam pemeriksaan hipotek
26754,Comic-Con: 'Batkid Begins' Director Reveals Who Young Hero Thinks Batman  ...,Entertainment,Comic-Con: Sutradara 'Batkid Begins' Mengungkapkan Siapa Pahlawan Muda yang Dianggap Batman ...
36133,"Selena Gomez films Adidas ad campaign in New York, shows abs (Photos)",Entertainment,"Selena Gomez memfilmkan kampanye iklan Adidas di New York, memperlihatkan perutnya (Foto)"
52279,Take the Long View on Google's Earnings Miss,Economy,Ambil Pandangan Panjang tentang Penghasilan Google Nona
10743,"Nissan, Honda recall 3M vehicles",Technology,"Nissan, Honda menarik kembali kendaraan 3M"
20832,EU lawmakers said to reach provisional deal on bank bill,Economy,Anggota parlemen Uni Eropa mengatakan akan mencapai kesepakatan sementara mengenai tagihan bank
45495,"'The Big Bang Theory' Contract Negotiations Still Going, Production Halted",Entertainment,"""Negosiasi Kontrak 'Teori Big Bang' Masih Berlangsung, Produksi Dihentikan""."
28916,GameStop Reports Q4 and FY 2013 Results,Economy,Laporan GameStop Hasil Q4 dan TA 2013
34482,Could this planet have extraterrestrial life?,Technology,Mungkinkah planet ini memiliki kehidupan di luar bumi?
42199,10 largest GM recalls this year,Technology,10 penarikan GM terbesar tahun ini
37717,MLB 14: The Show Trailer: Play Ball Better on PS4,Technology,MLB 14: Trailer Pertunjukan: Mainkan Bola Lebih Baik di PS4
49181,Robin Thicke's Paula Lyrics Are as Pathetic as a Soaking Wet Animal,Entertainment,Lirik Paula Robin Thicke Sama Menyedihkannya Seperti Hewan Basah Kuyup
58373,"PRESS TOUR: Making over 'The Millers,' which adds a new cast member",Entertainment,"TUR PERS: Pembuatan 'The Millers', yang menambah anggota pemeran baru"
19338,The 'Amazing Spider-Man 2' Ending Leaves Big Questions For Third Film,Entertainment,Ending 'Amazing Spider-Man 2' Tinggalkan Pertanyaan Besar Untuk Film Ketiganya
43518,The secrets to be happy,Entertainment,Rahasia untuk menjadi bahagia
24071,Police: 'Idol' winner Scotty McCreery victim in home invasion,Entertainment,Polisi: Pemenang 'Idola' Scotty McCreery menjadi korban penyerbuan rumah
36104,Why a vague Fed is for the best,Economy,Mengapa Fed yang tidak jelas adalah pilihan yang terbaik
30457,Game of Thrones premiere free streaming hits Xbox,Entertainment,Streaming gratis perdana Game of Thrones hadir di Xbox
6282,"Review: 'X-Men: Days of Future Past' Is a Perfectly Enjoyable, Meaningless Romp",Entertainment,Ulasan: 'X-Men: Days of Future Past' Adalah Kejar-kejaran yang Sangat Menyenangkan dan Tidak Berarti
15337,"Kim Kardashian, Kanye West's Versailles Pre-Wedding Bash: Pictures, Details!",Entertainment,"Kim Kardashian, Pesta Pra-Pernikahan Kanye West di Versailles: Gambar, Detail!"
34921,Farnborough Airshow: F-35 combat jet fails to take to skies,Economy,Pameran Udara Farnborough: Jet tempur F-35 gagal mengudara
42909,What are your predictions for next week's episode of 'Game of Thrones'?,Entertainment,Apa prediksimu untuk episode 'Game of Thrones' minggu depan?
7670,American Apparel's Dov Charney lashes out at 'grotesque' board and vows to  ...,Economy,Dov Charney dari American Apparel mengecam dewan yang 'mengerikan' dan bersumpah untuk ...
23815,Regulators Accept PNC Capital Plan,Economy,Regulator Menerima Rencana Modal PNC
22978,Money Clip: Facebook vs. Snapchat?,Technology,Klip Uang: Facebook vs. Snapchat?
20087,Surface Pro 3: Understanding the Hardware in Each Version,Technology,Surface Pro 3: Memahami Perangkat Keras di Setiap Versi
11023,Teva Pharmaceutical Industries Ltd (ADR) Receives Consensus  ...,Economy,Teva Pharmaceutical Industries Ltd (ADR) Menerima Konsensus ...
41297,MOVIE REVIEW: Jolie's a fun hero-villain in 'Maleficent',Entertainment,TINJAUAN FILM: Jolie adalah pahlawan-penjahat yang menyenangkan di 'Maleficent'
22634,Microsoft makes ExpressRoute generally available to enterprises,Technology,Microsoft membuat ExpressRoute tersedia secara umum untuk perusahaan
35641,Travel Channel Postpones Adam Richman's 'Man Finds Food',Entertainment,Travel Channel Menunda 'Man Finds Food' karya Adam Richman
22677,"PM Tony Abbott Inks Japan Free Trade Deal; Opens Up Dairy, Beef, Wine  ...",Economy,"PM Tony Abbott Menandatangani Kesepakatan Perdagangan Bebas Jepang; Membuka Produk Susu, Daging Sapi, Anggur ..."
38191,"Report: Brady, Bundchen put LA mansion on market for $50M",Entertainment,"Laporan: Brady, Bundchen memasarkan rumah besar LA seharga $50 juta"
65392,UAE to Send Spaceship to Mars by 2021,Technology,UEA Akan Mengirim Pesawat Luar Angkasa ke Mars pada tahun 2021
39633,EUR/USD still immune for stock market volatility,Economy,EUR/USD masih kebal terhadap volatilitas pasar saham
48999,Matthew McConaughey Catches Beer From Brad Pitt Across Balconies,Entertainment,Matthew McConaughey Menangkap Bir Dari Brad Pitt Di Balkon
16742,Chicken from hell sheds new light on bird-like dino,Technology,Ayam dari neraka memberi petunjuk baru tentang dino yang mirip burung
3823,"EU accepts Samsung offer on basic patents, raps Motorola",Technology,"UE menerima tawaran Samsung untuk paten dasar, kata Motorola"
43509,Beyoncé and Jay Z reveal secret wedding footage during 'On the Run' tour,Entertainment,Beyoncé dan Jay Z mengungkap cuplikan rahasia pernikahan selama tur 'On the Run'
26138,"Google I/O 2014 Live Video From Moscone West, San Francisco",Technology,"Video Langsung Google I/O 2014 Dari Moscone West, San Francisco"
39138,"Chris Hemsworth, Elsa Pataky Welcome Twins",Entertainment,"Chris Hemsworth, Elsa Pataky Menyambut Si Kembar"
12640,US dollar rises in Asia on optimistic sentiment,Economy,Dolar AS menguat di Asia karena sentimen optimis
1979,"NC July 4TH holiday traffic highest in more than a decade, gas prices up, traffic  ...",Technology,"Lalu lintas liburan NC 4 Juli tertinggi dalam lebih dari satu dekade, harga bahan bakar naik, lalu lintas ..."
14552,'Scandal' recap: Season 3 finale - 5 highlights (Spoilers),Entertainment,Rekap 'Skandal': Final Musim 3 - 5 Sorotan (Spoiler)
4579,'Game Of Thrones' Star Maisie Williams Is UPSET That Her Character Left The  ...,Entertainment,Bintang 'Game Of Thrones' Maisie Williams Kesal Karena Karakternya Meninggalkan ...
23572,Lululemon Athletica finds some inner peace in 4Q,Economy,Lululemon Athletica menemukan kedamaian batin di 4Q
18929,Bieber faces racist language claim,Entertainment,Bieber menghadapi klaim bahasa rasis
59501,Katie Holmes goes topless in Glamour,Entertainment,Katie Holmes bertelanjang dada di Glamour
18173,Civilization Beyond Earth is the Firaxis game reveal,Technology,Civilization Beyond Earth adalah pengungkapan game Firaxis
7870,Miss Piggy talks Muppets Most Wanted,Entertainment,Nona Piggy berbicara tentang Muppet yang Paling Dicari
699,'Fury' Trailer Reminds Us That Brad Pitt Is at His Best in War Movies,Entertainment,"Trailer ""Fury"" Mengingatkan Kita Bahwa Brad Pitt Berada dalam Film Perang Terbaiknya"
38638,Stars align for arena tour of 'Jesus Christ Superstar',Entertainment,Para bintang berbaris untuk tur arena 'Jesus Christ Superstar'
16086,Minnesota couple makes a splash at their wedding,Entertainment,Pasangan Minnesota membuat heboh di pernikahan mereka
49874,Roche Holding Ltd Is Betting Billions on This New Blockbuster,Economy,Roche Holding Ltd Bertaruh Miliaran pada Blockbuster Baru Ini
326,Feds: Climate change heating up,Technology,FBI: Perubahan iklim semakin memanas
65533,Watch first 'Ninja Turtles' trailer,Entertainment,Tonton dulu trailer 'Ninja Turtles'
33297,Tech Industry Nervous Others Will Suffer Aereo's Fate,Technology,Industri Teknologi Gugup Orang Lain Akan Menderita Nasib Aereo
9901,Twitter adds Facebook-style tagging,Technology,Twitter menambahkan penandaan gaya Facebook
4733,HTC Might Be Interested In Nokia's Chennai Factory,Technology,HTC Mungkin Tertarik dengan Pabrik Nokia di Chennai
22197,Why American Apparel May Go Bankrupt,Economy,Mengapa Pakaian Amerika Bisa Bangkrut
62437,"Uninsured rate lowest since 2008, poll finds",Economy,"Tingkat orang yang tidak memiliki asuransi adalah yang terendah sejak tahun 2008, demikian temuan jajak pendapat"
1316,20 Strangers Were Asked to Kiss For the First Time and It Was Strangely Beautiful,Entertainment,20 Orang Asing Diminta Berciuman Untuk Pertama Kalinya dan Anehnya Indah
52128,“HE'S GOT A GUN!” (USA Today Images),Entertainment,“DIA PUNYA SENJATA!” (Gambar USA Hari Ini)
47292,Samsung Galaxy S3 Glitches Will Never Go Away If 4.4 KitKat Isn't Coming,Technology,Gangguan Samsung Galaxy S3 Tidak Akan Pernah Hilang Jika 4.4 KitKat Tidak Hadir
49807,"US Patent Office Rules 'Redskins' Name Disparaging, Cancels Trademarks",Economy,"Aturan Kantor Paten AS 'Redskins' Meremehkan Nama, Membatalkan Merek Dagang"
11602,Meteor shower will peak this week,Technology,Hujan meteor akan mencapai puncaknya pada minggu ini
46851,Will inflation stay low or rise? A Fed study shows it could go either way,Economy,Akankah inflasi tetap rendah atau meningkat? Sebuah studi yang dilakukan The Fed menunjukkan bahwa hal tersebut bisa berjalan baik
29778,"The update is ""coming soon""",Technology,"Pembaruan ""segera hadir"""
45944,Winterthur conservator helped find hidden Picasso image,Entertainment,Konservator Winterthur membantu menemukan gambar Picasso yang tersembunyi
44790,China's economy sees slowest growth in 18 months,Economy,Perekonomian Tiongkok mengalami pertumbuhan paling lambat dalam 18 bulan
53693,WASHINGTON — Gas prices in the DC metro area are up 6 cents from a week  ...,Technology,WASHINGTON — Harga gas di wilayah metro DC naik 6 sen dari seminggu ...
9191,Metropolitan General Manager Issues Statement on Proposed Statewide  ...,Economy,Manajer Umum Metropolitan Mengeluarkan Pernyataan tentang Usulan ...
4188,Wall Street closes slightly lower,Economy,Wall Street ditutup sedikit lebih rendah
19189,Duke Execs Hit With Investor Suit Over Coal Ash Record,Economy,Eksekutif Duke Terkena Tuntutan Investor Atas Rekor Abu Batubara
23669,"AAPL Soars on Earnings Beat, 7-for-1 Apple Stock Split",Technology,"AAPL Melonjak karena Pendapatannya Mengalahkan, Pemecahan Saham Apple 7-untuk-1"
19941,Watch: The Daily Mail have a video of Louis Tomlinson and Zayn Malik smoking  ...,Entertainment,Tonton: The Daily Mail punya video Louis Tomlinson dan Zayn Malik merokok ...
13199,"Samsung Galaxy S5 Google Play Edition Spotted Again, Galaxy Note 3 Gets  ...",Technology,"Samsung Galaxy S5 Google Play Edition Terlihat Lagi, Galaxy Note 3 Dapatkan ..."
40339,Liman 'better' for Cruise project,Entertainment,Liman 'lebih baik' untuk proyek Cruise
19225,Veronica Mars And The Case Of The Totally Adequate Kickstarter Movie,Entertainment,Veronica Mars Dan Kasus Film Kickstarter Yang Benar-Benar Memadai
57582,"Miranda Kerr opens up about sex life, and more news to note",Entertainment,"Miranda Kerr terbuka tentang kehidupan seks, dan lebih banyak berita yang perlu diperhatikan"
62729,eBay to ask eBay users to change passwords,Technology,eBay meminta pengguna eBay mengubah kata sandi
63725,GM says securities regulators are probing ignition switch recall,Economy,GM mengatakan regulator sekuritas sedang menyelidiki penarikan saklar pengapian
27203,Donovan Leitch Talks Gwyneth Paltrow Kiss,Entertainment,Donovan Leitch Berbicara tentang Ciuman Gwyneth Paltrow
27847,Apple to live stream WWDC 2014 keynote next week,Technology,Apple akan melakukan siaran langsung keynote WWDC 2014 minggu depan
54006,Samsung's new Galaxy K Zoom is aimed at photography lovers,Technology,Galaxy K Zoom baru dari Samsung ditujukan untuk pecinta fotografi
32562,Katy Perry launches record label through Capitol Records,Entertainment,Katy Perry meluncurkan label rekaman melalui Capitol Records
38308,Mariah Carey & Nick Cannon Had A Serious Heart-To-Heart Conversation About  ...,Entertainment,Mariah Carey & Nick Cannon Berbicara Serius Dari Hati ke Hati Tentang ...
61621,"Pending Home Sales Make Sharp Comeback as Rates Ease, Inventories Rise",Economy,"Penjualan Rumah Tertunda Kembali Tajam seiring Penurunan Harga, Persediaan Meningkat"
36671,YELLEN: Here's Why All College Graduates Should Aspire To Be Like Ben  ...,Economy,YELLEN: Inilah Mengapa Semua Lulusan Perguruan Tinggi Harus Bercita-cita Menjadi Seperti Ben ...
51119,FTSE 100 preview: Upbeat China PMI to boost market sentiment,Economy,Pratinjau FTSE 100: IMP Tiongkok yang optimis akan meningkatkan sentimen pasar
4140,Broadway legend Elaine Stritch dies at 89,Entertainment,Legenda Broadway Elaine Stritch meninggal pada usia 89 tahun
4379,FCC Move Seen as Disaster for Online Start-Ups,Technology,Pergerakan FCC Dilihat sebagai Bencana bagi Startup Online
47903,"Solar eruption, first clear CME for IRIS (VIDEO)",Technology,"Letusan matahari, CME pertama yang jelas untuk IRIS (VIDEO)"
36672,Deputies out in force this weekend to ensure that boaters aren't drunk on the water,Technology,Deputi akan diberlakukan akhir pekan ini untuk memastikan bahwa pelaut tidak mabuk di atas air
34283,Lutheran Church of Our Redeemer holy week worship schedule,Entertainment,Jadwal ibadah minggu suci Gereja Lutheran Penebus Kita
40846,"Hall of Famers & More Pay Tribute to Warrior, DDP Talks Nancy Grace",Entertainment,"Hall of Famers & Lainnya Memberi Penghormatan kepada Warrior, DDP Talks Nancy Grace"
50543,Chris Evans soars in 'Captain America' sequel,Entertainment,Chris Evans tampil cemerlang di sekuel 'Captain America'
8108,"'Orphan Black' writers know how show will end, says Jordan Gavaris",Entertainment,"Penulis 'Orphan Black' tahu bagaimana pertunjukannya akan berakhir, kata Jordan Gavaris"
59615,Lindsay Lohan Talks Sex List,Entertainment,Lindsay Lohan Berbicara Daftar Seks
37395,Cosmos: A Spacetime Odyssey Episode 3: When Knowledge Conquered Fear,Technology,Cosmos: A Spacetime Odyssey Episode 3: Saat Pengetahuan Menaklukkan Ketakutan
30393,Chinese auto brands limp into Beijing show,Economy,Merek mobil Tiongkok tertatih-tatih memasuki pameran di Beijing
30422,Investors: Local Currency Bonds Still Too Risky,Economy,Investor: Obligasi Mata Uang Lokal Masih Terlalu Berisiko
10350,Eva Mendes Pregnant With Ryan Gosling's Baby (VIDEO),Entertainment,Eva Mendes Hamil Bayi Ryan Gosling (VIDEO)
3327,Sales Of Ryan Seacrest's Typo Case Stopped In The US By Court,Technology,Penjualan Kasus Typo Ryan Seacrest Dihentikan di AS Oleh Pengadilan
4995,X-Men: Days Of Future Past Clip Features A Deadly Sentinel Attack,Entertainment,Klip X-Men: Days Of Future Past Menampilkan Serangan Sentinel yang Mematikan
32052,Texting Just Got Better: Hundreds of New Emoji Being Added,Technology,Mengirim SMS Menjadi Lebih Baik: Ratusan Emoji Baru Ditambahkan
49598,American Apparel Lender Issues Default Notice on $10 Million Loan,Economy,Pemberi Pinjaman Pakaian Amerika Mengeluarkan Pemberitahuan Default tentang Pinjaman $10 Juta
62964,Britney Spears unedited 'Alien' track leaked,Entertainment,Lagu 'Alien' Britney Spears yang belum diedit bocor
31874,"YIKES: Rob Kardashian Didn't go to KimYe's Wedding, Deletes all His Tweets",Entertainment,"YIKES: Rob Kardashian Tidak menghadiri Pernikahan KimYe, Menghapus semua Tweet-nya"
32154,Titanfall DLC 'Expedition' Maps Release Next Month: Respawn Confirms Last  ...,Technology,Peta 'Ekspedisi' DLC Titanfall Dirilis Bulan Depan: Respawn Dikonfirmasi Terakhir ...
51976,Bloomberg: Pfizer Considers Raising Bid For AstraZeneca A Second Time,Economy,Bloomberg: Pfizer Mempertimbangkan Menaikkan Tawaran Untuk AstraZeneca Untuk Kedua Kalinya
44164,PlayStation 4 sales top 7 million,Technology,Penjualan PlayStation 4 mencapai angka 7 juta
53635,FOREX-Euro slips further but little faith in dollar rally,Economy,FOREX-Euro tergelincir lebih jauh tetapi sedikit kepercayaan pada reli dolar
54485,"Deutsche Bank delivered a solid set of earnings, if you ignore all the bad stuff",Economy,"Deutsche Bank menghasilkan pendapatan yang solid, jika Anda mengabaikan semua hal buruknya"
53206,"GM Recalls To Slow, Investors Refocus On Fundamentals",Technology,"GM Ingatkan Lambat, Investor Kembali Fokus ke Fundamental"
