No,News Title,Category,News Title Indonesia
51371,"European Markets Fall, AstraZeneca Slumps",Economy,"Pasar Eropa Jatuh, AstraZeneca Merosot"
64075,American Apparel Signs Support Agreement with Standard General,Economy,American Apparel Menandatangani Perjanjian Dukungan dengan Standard General
47013,Day Around The Bay: Why Mozilla's CEO Needs To Apologize,Technology,Day Around The Bay: Mengapa CEO Mozilla Perlu Meminta Maaf
33399,"India, China Must be Responsible to Combat Climate Change US",Technology,"India, Tiongkok Harus Bertanggung Jawab Memerangi Perubahan Iklim AS"
65428,X-Men Days of Future Past Cast and Movie News: Director Bryan Singer  ...,Entertainment,Pemeran dan Berita Film X-Men Days of Future Past: Sutradara Bryan Singer ...
6392,Vending machine selling cannabis for consumers debuts in Colorado,Economy,Mesin penjual otomatis yang menjual ganja untuk konsumen memulai debutnya di Colorado
10652,Apple close to buying headphone maker Beats Electronics,Economy,Apple hampir membeli pembuat headphone Beats Electronics
57773,Samsung Wants Everyone To Know Its New Galaxy Phone Didn't Copy Apple,Technology,Samsung Ingin Semua Orang Tahu Ponsel Galaxy Barunya Tidak Meniru Apple
59088,Lifting Net neutrality rules can't promise long-term carrier climate,Technology,Mencabut aturan netralitas internet tidak dapat menjanjikan iklim jangka panjang bagi maskapai penerbangan
22863,Provopoulos Repeats Greek Recovery Coming,Economy,Provopoulos Mengulangi Pemulihan Yunani yang Akan Datang
42195,Yahoo! NewFront: The average Tumblr sponsored post is reblogged 10000 times,Entertainment,Yahoo! NewFront: Rata-rata postingan bersponsor Tumblr di-reblog 10.000 kali
17508,HTC M8 Ace shows off its front and rear in new images,Technology,HTC M8 Ace memamerkan bagian depan dan belakangnya dalam gambar baru
16251,"Watch 'Secrets', The New Game of Thrones Season 4 Trailer",Entertainment,"Tonton 'Secrets', Trailer Baru Game of Thrones Musim 4"
6982,iPhone 6: new video suggests previous leaks 'misleading',Technology,iPhone 6: video baru menunjukkan kebocoran sebelumnya 'menyesatkan'
22010,'I Don't Understand The Backlash Against Twilight': Robert Pattinson Opens Up  ...,Entertainment,'Saya Tidak Memahami Reaksi Terhadap Twilight': Robert Pattinson Membuka ...
38721,RPT-BofA pays AIG $650 million to settle mortgage disputes,Economy,RPT-BofA membayar AIG $650 juta untuk menyelesaikan sengketa hipotek
44607,"Priceline Buys OpenTable, Millions of Hungry Travelers for $2.6 Billion",Economy,"Priceline Membeli OpenTable, Jutaan Wisatawan Lapar seharga $2,6 Miliar"
14889,Is Tom 'Cruise-ing' along with new romance?,Entertainment,Apakah Tom 'Cruise-ing' bersama dengan romansa baru?
6240,General Mills scraps plan to strip consumers of right to sue,Economy,General Mills membatalkan rencana untuk mencabut hak konsumen untuk menuntut
38913,Samsung Electronics posts 19.6% fall in Q2 net profit,Economy,"Samsung Electronics membukukan penurunan laba bersih Q2 sebesar 19,6%."
23707,Report: exchange brings competition to state's insurance market,Economy,Laporan: pertukaran membawa persaingan ke pasar asuransi negara
64282,Netflix cracks cable market in deals with 3 providers,Entertainment,Netflix memecahkan pasar kabel dalam kesepakatan dengan 3 penyedia
63010,Ex-Archbishop: Western lifestyles 'cause climate change',Technology,Mantan Uskup Agung: Gaya hidup Barat 'menyebabkan perubahan iklim'
19160,From Memphis to 'Earth to Echo': Meet Screenwriter Henry Gayden (and his ham  ...,Entertainment,Dari Memphis ke 'Earth to Echo': Temui Penulis Skenario Henry Gayden (dan hamnya ...
16139,Gravitational waves from just after Big Bang show how universe grew,Technology,Gelombang gravitasi setelah Big Bang menunjukkan bagaimana alam semesta berkembang
30485,Samsung's Latest Flagship Now Available for Just $99 - Verizon and Sprint Only,Technology,Unggulan Terbaru Samsung Kini Tersedia Hanya dengan $99 - Hanya Verizon dan Sprint
7626,BREAKING: Andi Dorfman Picks Josh Murray in The Bachelorette 2014 Finale!,Entertainment,BREAKING: Andi Dorfman Memilih Josh Murray di Final The Bachelorette 2014!
38284,Discovery Cancels 'Everest Jump Live' in Light of Deadly Avalanche,Entertainment,Discovery Membatalkan 'Everest Jump Live' Karena Longsoran Salju yang Mematikan
48725,Katharine the shark tweets from the ocean,Technology,Katharine si hiu berkicau dari laut
29480,Apple agrees to conditional $450 mln e-books antitrust accord,Technology,Apple menyetujui perjanjian antimonopoli e-book bersyarat senilai $450 juta
22563,"Puff Daddy in, P. Diddy out in latest Sean Combs name game",Entertainment,"Puff Daddy masuk, P. Diddy keluar dalam permainan nama Sean Combs terbaru"
65186,What's in a settlement?,Economy,Apa yang ada dalam penyelesaian?
44283,Destiny Collector's Editions Info,Technology,Info Edisi Kolektor Takdir
50208,Report: Google wants to get into the health data game with 'Google Fit',Technology,Laporan: Google ingin memasuki permainan data kesehatan dengan 'Google Fit'
40331,"Microsoft Warns of New IE Flaw, Will (Probably) Not Fix on Windows XP",Technology,"Microsoft Memperingatkan tentang Cacat IE Baru, (Mungkin) Tidak Akan Diperbaiki pada Windows XP"
10089,Tech heavyweights offer millions to help with Heartbleed crisis,Technology,Perusahaan teknologi kelas berat menawarkan jutaan dolar untuk membantu mengatasi krisis Heartbleed
13907,Kim Kardashian Returns to Recording Booth,Entertainment,Kim Kardashian Kembali ke Tempat Rekaman
11191,Kaley Cuoco on Dating Superman: The Recognition Was Crazy!,Entertainment,Kaley Cuoco saat Berkencan dengan Superman: Pengakuannya Gila!
13797,"Big, flat, round, black – despite the hucksters, vinyl has its day",Entertainment,"Besar, datar, bulat, hitam – meskipun banyak pedagang asongan, vinil memiliki masanya"
1990,2014 Loses Another Game. Batman: Arkham Knight Delayed to 2015,Entertainment,2014 Kalah Satu Game Lagi. Batman: Arkham Knight Ditunda hingga 2015
25090,Veteran Actor And 'Homeland' Star James Rebhorn Dies Aged 65,Entertainment,Aktor Veteran Dan Bintang 'Homeland' James Rebhorn Meninggal Pada Usia 65 Tahun
56211,Is Tivo's new Roamio OTA DVR a cord-cutter's dream?,Technology,Apakah DVR Roamio OTA baru Tivo adalah impian pemotong kabel?
59546,"iPhone 6 sapphire display leaks, and it's indestructible",Technology,Layar safir iPhone 6 bocor dan tidak bisa dihancurkan
12238,WATCH: Pippa Middleton's First-Ever TV Interview On 'Today',Entertainment,TONTON: Wawancara TV Pertama Pippa Middleton di 'Hari Ini'
49863,Ideas should be second nature,Technology,Ide harus menjadi kebiasaan
34709,Jay Z PHYSICALLY ATTACKED by Beyonce's Sister Solange [VIDEO],Entertainment,Jay Z SECARA FISIK DISERANG oleh Adik Beyonce Solange [VIDEO]
40122,"Comic Con Cosplay 2014: The Good, The Weird And The Ugly",Entertainment,"Comic Con Cosplay 2014: Yang Baik, Yang Aneh, dan Yang Jelek"
32298,Movie Review: Jason Bateman is ruthlessly funny in 'Bad Words',Entertainment,Ulasan Film: Jason Bateman sangat lucu di 'Bad Words'
42797,Google Shopping Express expands same-day delivery service to New York and  ...,Economy,Google Shopping Express memperluas layanan pengiriman pada hari yang sama ke New York dan ...
8816,Where Do You Go for Authentic Irish Cuisine in Boston?,Entertainment,Ke Mana Anda Pergi untuk Masakan Asli Irlandia di Boston?
11340,Bachelorette 2014 Spoilers: Week 3 Recap – Eric Hill Drama?,Entertainment,Spoiler Bachelorette 2014: Rekap Minggu 3 – Drama Eric Hill?
44484,Adam Levine - Blake Shelton Tweets Adam Levine's Phone Number During Live  ...,Entertainment,Adam Levine - Blake Shelton Tweet Nomor Telepon Adam Levine Selama Live ...
48368,AUD to USD surges back above 94 cents on Fed minutes & could rise higher,Economy,AUD terhadap USD melonjak kembali di atas 94 sen setelah risalah rapat Fed & bisa naik lebih tinggi
52418,"New Banksy Mural ""Mobile Lovers"" Appears in Britain",Entertainment,"Mural Banksy Baru ""Mobile Lovers"" Muncul di Inggris"
24193,Will Smith pegged as star in movie about NFL concussions,Entertainment,Will Smith dipatok sebagai bintang film tentang gegar otak NFL
41913,Zions Fails to Clear Stress Test,Economy,Zions Gagal Menyelesaikan Tes Stres
31605,"HTC One 2 Price Announced for Verizon, AT&T and Google Play Edition",Technology,"Harga HTC One 2 Diumumkan untuk Verizon, AT&T dan Edisi Google Play"
59175,"Movies in Theaters This Wednesday, July 2-4, 2014: Tammy, Deliver Us From  ...",Entertainment,"Film yang Tayang di Bioskop Rabu Ini, 2-4 Juli 2014: Tammy, Bebaskan Kami Dari ..."
9786,"Apple Inc updates MacBook Pro laptops, cuts price of older model",Technology,"Apple Inc memperbarui laptop MacBook Pro, memotong harga model lama"
9613,"GM, Hyundai models win most JD Power quality awards",Technology,"GM, model Hyundai memenangkan sebagian besar penghargaan kualitas JD Power"
56449,Wall St gains on Yellen comments and Yahoo,Economy,Wall St menguat karena komentar Yellen dan Yahoo
52791,Extant: Sci-Fi Alien Conspiracy Meets Family Drama in CBS' Summer Series,Entertainment,Masih Ada: Konspirasi Alien Sci-Fi Bertemu Drama Keluarga di Serial Musim Panas CBS
14034,'Heartbeat' brings heartbreak for Ireland at Eurovision,Entertainment,'Heartbeat' membawa patah hati bagi Irlandia di Eurovision
27519,GM Names New PR Chief In Midst Of Safety Crisis,Economy,GM Menunjuk Kepala Humas Baru di Tengah Krisis Keselamatan
45693,Yahoo! Inc. (YHOO) to Return Cash from Alibaba IPO to Shareholders,Technology,Yahoo! Inc. (YHOO) Akan Mengembalikan Uang Tunai dari IPO Alibaba kepada Pemegang Saham
23150,"Argentina to urge Citibank, BONY to pay bondholders",Economy,"Argentina mendesak Citibank, BONY untuk membayar pemegang obligasi"
27204,Barclays plans to axe 19000 jobs as it returns to roots,Economy,Barclays berencana untuk memangkas 19.000 pekerjaan saat mereka kembali ke akarnya
13967,UPDATE 2-Chicago selected for George Lucas' 'storytelling' museum,Entertainment,PEMBARUAN 2-Chicago dipilih untuk museum 'bercerita' George Lucas
48715,"In A Different Form, Large Amount Of Water Could Be Buried Deep Below The  ...",Technology,"Dalam Bentuk Yang Berbeda, Sejumlah Besar Air Dapat Terkubur Jauh Di Bawah ..."
7663,NASA Captures Incredible Images of Asteroid,Technology,NASA Menangkap Gambar Asteroid yang Luar Biasa
48107,Forbes: Apple made a 'massive mistake' with iOS 8,Technology,Forbes: Apple membuat 'kesalahan besar' dengan iOS 8
35664,I DON'T Wanna Hold Your Hand! Paul McCartney Infection Leads To Hospital Stay,Entertainment,AKU TIDAK Ingin Memegang Tanganmu! Infeksi Paul McCartney Menyebabkan Rawat Inap di Rumah Sakit
25296,"Cost of fighting warming 'modest,' says UN panel - WFSB 3 Connecticut",Technology,"Biaya yang dikeluarkan untuk memerangi pemanasan 'sederhana', kata panel PBB - WFSB 3 Connecticut"
39053,Josh Murray & Andi Dorfman Are Engaged! 8 Things to Know About Him,Entertainment,Josh Murray & Andi Dorfman Bertunangan! 8 Hal yang Perlu Diketahui Tentang Dia
45908,"Gold prices flat to weaker in Asia, eye Fed minutes",Economy,"Harga emas datar hingga melemah di Asia, tunggu risalah rapat Fed"
57621,The 2014 ESPYs - Drake hosts ESPN's annual sports awards,Entertainment,ESPY 2014 - Drake menjadi tuan rumah penghargaan olahraga tahunan ESPN
4968,NTSB: Asiana plane crash in San Francisco was due to pilot mismanagement,Economy,NTSB: Kecelakaan pesawat Asiana di San Francisco disebabkan oleh kesalahan manajemen pilot
50410,Meteor Shower tonight could be super-dramatic says NASA,Technology,"Hujan Meteor malam ini bisa jadi sangat dramatis, kata NASA"
7705,Jennifer Lawrence & Nicholas Hoult Agree To Ignore Each Other When They're  ...,Entertainment,Jennifer Lawrence & Nicholas Hoult Setuju Untuk Mengabaikan Satu Sama Lain Saat Mereka ...
44608,Harrison Ford injures ankle on 'Star Wars' film set,Entertainment,Harrison Ford mengalami cedera pergelangan kaki di lokasi syuting film 'Star Wars'
23830,Gary Oldman Defends Mel Gibson's anti-Semitic Remarks,Entertainment,Gary Oldman Membela Pernyataan anti-Semit Mel Gibson
10649,Ex-NYT editor: No idea what I'll do next,Entertainment,Mantan editor NYT: Tidak tahu apa yang akan saya lakukan selanjutnya
23280,"Mitsubishi, Siemens file joint Alstom bids",Economy,"Mitsubishi, Siemens mengajukan penawaran bersama Alstom"
54526,Mars 'flying saucer' splashes back down after test,Entertainment,'Piring terbang' Mars terciprat kembali setelah pengujian
17541,CONSUMER ALERT: Microsoft warns of Internet Explorer security gap,Technology,PERINGATAN KONSUMEN: Microsoft memperingatkan kesenjangan keamanan Internet Explorer
44937,IPCC graph of the day: how we doubled fossil CO2 emissions in 40 years time,Technology,Grafik IPCC hari ini: bagaimana kita menggandakan emisi CO2 fosil dalam waktu 40 tahun
40017,Crude oil leak blamed for China water contamination that hits 2.4 million people,Economy,"Kebocoran minyak mentah menjadi penyebab kontaminasi air di Tiongkok yang menimpa 2,4 juta orang"
56030,Weekend Movies: Get On Out to Theaters,Entertainment,Film Akhir Pekan: Pergi ke Bioskop
11033,Apartment living: Synced,Entertainment,Kehidupan apartemen: Disinkronkan
10635,Elsa Pataky & Chris Hemsworth Reveal Twins' Names & First Picture!,Entertainment,Elsa Pataky & Chris Hemsworth Ungkap Nama & Foto Pertama Si Kembar!
9800,Summer Surprise: 'Jupiter Ascending' moves to February 2015,Entertainment,Kejutan Musim Panas: 'Jupiter Ascending' dipindahkan ke Februari 2015
61121,Gaga's 'G.U.Y.' Video Is Long and Credit-Filled,Entertainment,'GUY' Gaga Video Panjang dan Penuh Kredit
18946,US Attorney investigating General Motors recall,Economy,Jaksa AS menyelidiki penarikan kembali General Motors
22517,2015 Ram ProMaster City Unveiled at Chrysler Proving Grounds,Technology,Ram ProMaster City 2015 Diluncurkan di Chrysler Proving Ground
2270,Lookalikes Will Ferrell and Red Hot Chili Peppers' Chad Smith Engage in Drum  ...,Entertainment,Mirip Will Ferrell dan Chad Smith dari Red Hot Chili Peppers Terlibat dalam Drum ...
45580,Movie review: Captain America: The Winter Soldier,Entertainment,Ulasan film: Captain America: The Winter Soldier
43114,Chinese premier on plane search: 'We will not give up',Economy,Perdana Menteri Tiongkok tentang pencarian pesawat: 'Kami tidak akan menyerah'
37775,"Libya Rebels Clash With Military Near Oil Port, Lana Says",Economy,"Pemberontak Libya Bentrok Dengan Militer Dekat Pelabuhan Minyak, Kata Lana"
37401,GM keeps recalling vehicles,Technology,GM terus menarik kendaraan
2415,"eBay Gets Hacked, Encrypted Passwords Accessed",Technology,"eBay Diretas, Kata Sandi Terenkripsi Diakses"
46611,You've paid your taxes,Economy,Anda telah membayar pajak Anda
44770,Jay-Z allegedly attacked by Beyonce's sister Solange in NYC hotel elevator: report,Entertainment,"Jay-Z diduga diserang oleh saudara perempuan Beyonce, Solange di lift hotel NYC: lapor"
57542,PRESS DIGEST-Sunday British Business - May 18,Economy,PRESS DIGEST-Minggu Bisnis Inggris - 18 Mei
60632,Biggest MTV VMA Back Stage Shockers,Entertainment,Kejutan Panggung Belakang MTV VMA Terbesar
10883,Study: Thinner font would save U.S. government big bucks,Technology,Studi: Font yang lebih tipis akan menghemat banyak uang bagi pemerintah AS
59511,Jeff Bezos Says Amazon Is Seriously Serious About Drone Deliveries,Economy,Jeff Bezos Mengatakan Amazon Sangat Serius Tentang Pengiriman Drone
49052,Key Southern California interstate closed in both directions after steel beams fall  ...,Economy,Jalan antar negara bagian utama California Selatan ditutup di kedua arah setelah balok baja jatuh ...
7682,Visionary or 'nuts'? Facebook CEO Zuckerberg's multi-billion deal raises  ...,Technology,Visioner atau 'gila'? Kesepakatan multi-miliar CEO Facebook Zuckerberg meningkatkan ...
30062,India link emerges in $8.9-bn BNP Paribas settlement in US,Economy,"Keterkaitan dengan India muncul dalam penyelesaian BNP Paribas senilai $8,9 miliar di AS"
19313,Not another Mr & Mrs Smith for the new movie of 'Brangelina',Entertainment,Bukan Tuan & Nyonya Smith yang lain untuk film baru 'Brangelina'
7043,Scientists create the first life form with 'alien' DNA,Technology,Para ilmuwan menciptakan bentuk kehidupan pertama dengan DNA 'alien'
2335,Beyoncé is named one of TIME's 100 Most Influential people,Entertainment,Beyoncé dinobatkan sebagai salah satu dari 100 Orang Paling Berpengaruh versi TIME
47683,No one can transfer people's rule to elites: Turkish PM,Economy,Tidak ada yang bisa mengalihkan kekuasaan rakyat kepada elit: PM Turki
41772,Church Events,Entertainment,Acara Gereja
60711,Why Koninklijke Philips (PHG) Stock Is Higher This Morning,Economy,Mengapa Saham Koninklijke Philips (PHG) Lebih Tinggi Pagi Ini
45431,"Rob Kardashian Depressed? Before Kim's Wedding, Weight Gain And  ...",Entertainment,"Rob Kardashian Tertekan? Sebelum Pernikahan Kim, Berat Badan Naik Dan ..."
37702,Follow along with the LG G3 launch event live stream here,Technology,Ikuti siaran langsung acara peluncuran LG G3 di sini
20393,Ford Said to Decide on Fields as CEO as Mulally Plans Departure,Economy,Ford Dikatakan Memutuskan Fields sebagai CEO saat Mulally Merencanakan Keberangkatan
12706,Zendaya's Reason For Leaving Aaliyah Biopic,Entertainment,Alasan Zendaya Keluar dari Biopic Aaliyah
16404,North Korea warns of 'merciless response' to film,Entertainment,Korea Utara memperingatkan adanya 'respon tanpa ampun' terhadap film
17202,Should Pro-Life Christians Boycott the Ice Bucket Challenge?,Entertainment,Haruskah Umat Kristen Pro-Life Memboikot Ice Bucket Challenge?
44989,TPL Clip How to Eat Pot: Less Is More TPL Clip,Entertainment,Klip TPL Cara Makan Panci: Lebih Sedikit Lebih Banyak Klip TPL
48204,Angry Birds Transformers to set Autobirds and Deceptihogs loose,Entertainment,Angry Birds Transformers untuk melepaskan Autobirds dan Deceptihogs
4377,'Jem and the Holograms' Brings the Band Together,Entertainment,"""Jem and the Holograms"" Menyatukan Band"
856,Oculus Rift withdrawn from sale in China because of 'extreme reselling',Technology,Oculus Rift ditarik dari penjualan di China karena 'penjualan kembali yang ekstrim'
64243,Samsung unveils 4.5-inch Galaxy S5 Mini,Technology,"Samsung meluncurkan Galaxy S5 Mini 4,5 inci"
46015,Josh Kaufman wins 'The Voice' season 6 for Team Usher,Entertainment,Josh Kaufman memenangkan 'The Voice' musim 6 untuk Tim Usher
54832,'CA: Winter Soldier' a salute above the average sequel,Entertainment,'CA: Winter Soldier' ​​memberi penghormatan di atas rata-rata sekuelnya
20235,Samsung teases a site dedicated to its design philosophy and latest concepts  ...,Technology,Samsung menggoda situs yang didedikasikan untuk filosofi desain dan konsep terbarunya ...
8996,Cisco to invest over $1B to expand its cloud computing operations,Technology,Cisco akan berinvestasi lebih dari $1 miliar untuk memperluas operasi komputasi awannya
64748,'Candy Crush' maker King sees share value tumble 15 percent in market debut,Economy,Pembuat 'Candy Crush' King melihat nilai sahamnya anjlok 15 persen dalam debut pasarnya
48645,Brent Oil Erases Iraqi Rally in London as Futures Retreat,Economy,Minyak Brent Menghapus Reli Irak di London karena Penurunan Kontrak Berjangka
32295,More Disclosure in Airline Fees,Economy,Pengungkapan Lebih Banyak tentang Biaya Maskapai
32197,Teen made to remove makeup to get license photo at DMV,Technology,Remaja diminta menghapus riasan untuk mendapatkan lisensi foto di DMV
18381,Consumer sentiment rises in June,Economy,Sentimen konsumen meningkat di bulan Juni
57500,Watch a big-bang physicist learn his theory was right,Technology,Saksikan seorang fisikawan big-bang mengetahui bahwa teorinya benar
27757,SAC's Xu Plans China Hedge Fund,Economy,Xu dari SAC Merencanakan Dana Lindung Nilai Tiongkok
901,Microsoft ends Windows XP support,Technology,Microsoft mengakhiri dukungan Windows XP
27269,"ConAgra Foods Downgraded to ""Hold"" at KeyCorp (CAG)",Economy,"ConAgra Foods Diturunkan Menjadi ""Hold"" di KeyCorp (CAG)"
1656,"Robin Thicke Gets Slammed About Misogyny, Estranged Wife Paula Patton  ...",Entertainment,"Robin Thicke Kecam Soal Misogini, Istri Asing Paula Patton ..."
33989,Google feathers its Nest with $555m acquisition of Dropcam,Technology,Google melengkapi Nest-nya dengan akuisisi Dropcam senilai $555 juta
11840,Japan imposes visa bans on 23 people in new sanctions on Russia,Economy,Jepang memberlakukan larangan visa pada 23 orang sebagai sanksi baru terhadap Rusia
39784,Nick Viall 'very sorry' if 'Bachelorette' Andi Dorfman feels humiliated after sex in  ...,Entertainment,Nick Viall 'sangat menyesal' jika 'Lajang' Andi Dorfman merasa dipermalukan setelah berhubungan seks di ...
6099,American Idol eliminates another contestant as the Top 9 become 8,Entertainment,American Idol menyingkirkan kontestan lain saat Top 9 menjadi 8
61711,Android Reigns in US Smartphone Activations,Technology,Android Berkuasa dalam Aktivasi Ponsel Cerdas AS
19707,Intuit to Acquire Bill-Pay App Check for $360 Million,Economy,Intuit Akan Memperoleh Cek Aplikasi Bill-Pay sebesar $360 Juta
50181,"Play Store Gets ""Made In Australia"" Category To Show Off Locally Made Apps",Technology,"Play Store Mendapat Kategori ""Made In Australia"" Untuk Memamerkan Aplikasi Buatan Lokal"
38470,"Cynthia McFadden Leaves Nightline for NBC, Juju Chang Promoted",Entertainment,"Cynthia McFadden Meninggalkan Nightline untuk NBC, Juju Chang Dipromosikan"
23619,Powdered Alcohol Product Creates a Buzz,Entertainment,Produk Alkohol Bubuk Menciptakan Buzz
14212,"Star Wars adds two new actors, presumably to replace Harrison Ford's leg",Entertainment,"Star Wars menambahkan dua aktor baru, mungkin untuk menggantikan kaki Harrison Ford"
6793,"Climate change also means opportunities, scientists say at Yokohama meeting",Technology,"Perubahan iklim juga berarti peluang, kata para ilmuwan pada pertemuan di Yokohama"
13521,Beyoncé & Jay Z Officially Announce Their On The Run Tour! See All The  ...,Entertainment,Beyoncé & Jay Z Resmi Mengumumkan Tur On The Run Mereka! Lihat Semua ...
53124,Respawn Reveals Titanfall's First DLC,Technology,Respawn Mengungkapkan DLC Pertama Titanfall
64862,All You Need to Know About Surface Pro 3 as Compared to iPad Air,Technology,Yang Perlu Anda Ketahui Tentang Surface Pro 3 Dibandingkan dengan iPad Air
63201,Woman Claims French Montana Tried to Hook Up With Her Behind Khloé  ...,Entertainment,Wanita Mengklaim French Montana Mencoba Berhubungan Dengannya Di Belakang Khloé ...
35132,"Internet TV case: Justices skeptical, concerned",Entertainment,Kasus TV Internet: Para Hakim skeptis dan prihatin
28755,"Medicare Finances Improve As Healthcare Inflation Slows, Trustees Say",Economy,"Keuangan Medicare Meningkat Saat Inflasi Layanan Kesehatan Melambat, Kata Pengawas"
20913,Story removal: Cheaper to say yes?,Technology,Penghapusan cerita: Lebih murah untuk mengatakan ya?
39151,"Jessie J, Ariana Grande And Nicki Minaj Premiere ""Bang Bang""",Entertainment,"Jessie J, Ariana Grande dan Nicki Minaj Tayang Perdana ""Bang Bang"""
23618,Bieber released from LAX detention after returning from Asia,Entertainment,Bieber dibebaskan dari tahanan LAX setelah kembali dari Asia
26750,TV REVIEW: Game of Thrones Season 4,Entertainment,ULASAN TV: Game of Thrones Musim 4
10376,Tracy Morgan Now in 'Fair' Condition: Publicist,Entertainment,Tracy Morgan Sekarang dalam Kondisi 'Cukup': Humas
61875,"RPT-BOJ keeps policy on hold, maintains upbeat view on outlook",Economy,"RPT-BOJ ​​mempertahankan kebijakannya, mempertahankan pandangan optimis terhadap prospek"
41950,Sun Pharmaceuticals Industries Limited,Economy,Industri Farmasi Matahari Terbatas
28615,'Batman vs. Superman' movie finally has a title teasing more to come from DC  ...,Entertainment,Film 'Batman vs. Superman' akhirnya memiliki judul yang lebih menggoda dari DC ...
52350,"Apple Inc.'s (AAPL) sapphire site the scene of frenzied construction, production  ...",Technology,"Situs safir Apple Inc. (AAPL) menjadi lokasi hiruk pikuk konstruksi, produksi ..."
17654,Median Age In Dakotas Drops Thanks To Oil Boom,Economy,Usia Median Di Dakota Turun Karena Boom Minyak
11360,Sony reportedly halts OLED TV development to focus on 4K,Economy,Sony dilaporkan menghentikan pengembangan TV OLED untuk fokus pada 4K
25534,More Airbag Woes For Japanese Carmakers,Technology,Lebih Banyak Masalah Airbag Bagi Produsen Mobil Jepang
8156,FTSE 100: This morning's risers and fallers,Economy,FTSE 100: Naik turunnya pagi ini
33055,There`s nothing sexual about Willow`s bed photo: Pinkett Smith,Entertainment,Tidak ada yang bersifat seksual dalam foto ranjang Willow: Pinkett Smith
61070,Let The Mass Destruction Begin,Entertainment,Biarkan Penghancuran Massal Dimulai
47201,'Batman V. Superman': First Official Image Of Henry Cavill,Entertainment,"""Batman V. Superman"": Gambar Resmi Pertama Henry Cavill"
41140,LG G3 handset leaked by official Dutch site,Technology,Handset LG G3 dibocorkan oleh situs resmi Belanda
13137,Ebay hacked: Ebay tells users to change their passwords as personal info hacked,Technology,Ebay diretas: Ebay memberitahu pengguna untuk mengubah kata sandi mereka saat informasi pribadi diretas
63162,Google Grants First 'Right to be Forgotten' Requests,Technology,Google Mengabulkan Permintaan 'Hak untuk Dilupakan' yang Pertama
16867,Transformers: Age of Extinction: Lorenzo di Bonaventura Interview,Entertainment,Transformers: Age of Extinction: Wawancara Lorenzo di Bonaventura
